"Ion 119.00 (118.70 to 119.70): MA_Population_21-1-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_21-1-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_21-1-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_21-1-2.D\data.ms",""
"11.625","267.000","11.625","313.000","11.625","223.000","11.625","130.000"
"11.629","256.000","11.629","300.000","11.629","226.000","11.629","133.000"
"11.634","263.000","11.634","284.000","11.634","226.000","11.634","129.000"
"11.638","264.000","11.638","276.000","11.638","220.000","11.638","130.000"
"11.643","264.000","11.643","276.000","11.643","221.000","11.643","133.000"
"11.647","272.000","11.647","317.000","11.647","227.000","11.647","145.000"
"11.651","278.000","11.651","383.000","11.651","228.000","11.651","179.000"
"11.656","290.000","11.656","491.000","11.656","236.000","11.656","238.000"
"11.660","303.000","11.660","624.000","11.660","243.000","11.660","326.000"
"11.664","303.000","11.664","744.000","11.664","236.000","11.664","422.000"
"11.669","303.000","11.669","766.000","11.669","252.000","11.669","459.000"
"11.673","301.000","11.673","716.000","11.673","253.000","11.673","444.000"
"11.678","295.000","11.678","588.000","11.678","251.000","11.678","383.000"
"11.682","300.000","11.682","467.000","11.682","246.000","11.682","307.000"
"11.686","299.000","11.686","380.000","11.686","245.000","11.686","236.000"
"11.691","290.000","11.691","333.000","11.691","239.000","11.691","184.000"
"11.695","284.000","11.695","303.000","11.695","248.000","11.695","155.000"
"11.699","283.000","11.699","297.000","11.699","247.000","11.699","145.000"
"11.704","269.000","11.704","288.000","11.704","245.000","11.704","139.000"
"11.708","268.000","11.708","290.000","11.708","249.000","11.708","141.000"
"11.712","269.000","11.712","287.000","11.712","245.000","11.712","137.000"
