"Ion 119.00 (118.70 to 119.70): MA_Population_37-1-.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_37-1-.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_37-1-.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_37-1-.D\data.ms",""
"11.625","795.000","11.625","578.000","11.625","2657.000","11.625","400.000"
"11.629","775.000","11.629","566.000","11.629","2657.000","11.629","348.000"
"11.634","762.000","11.634","565.000","11.634","2730.000","11.634","307.000"
"11.638","766.000","11.638","561.000","11.638","2636.000","11.638","290.000"
"11.642","790.000","11.642","562.000","11.642","2699.000","11.642","266.000"
"11.647","772.000","11.647","574.000","11.647","2716.000","11.647","284.000"
"11.651","784.000","11.651","580.000","11.651","2680.000","11.651","266.000"
"11.656","778.000","11.656","614.000","11.656","2747.000","11.656","284.000"
"11.660","800.000","11.660","690.000","11.660","2790.000","11.660","312.000"
"11.664","843.000","11.664","840.000","11.664","2695.000","11.664","399.000"
"11.669","850.000","11.669","1086.000","11.669","2763.000","11.669","522.000"
"11.673","885.000","11.673","1306.000","11.673","2754.000","11.673","696.000"
"11.677","871.000","11.677","1403.000","11.677","2780.000","11.677","817.000"
"11.682","858.000","11.682","1409.000","11.682","2822.000","11.682","837.000"
"11.686","867.000","11.686","1260.000","11.686","2770.000","11.686","811.000"
"11.691","845.000","11.691","1016.000","11.691","2770.000","11.691","645.000"
"11.695","823.000","11.695","819.000","11.695","2766.000","11.695","493.000"
"11.699","803.000","11.699","675.000","11.699","2744.000","11.699","386.000"
"11.704","814.000","11.704","623.000","11.704","2621.000","11.704","321.000"
"11.708","804.000","11.708","597.000","11.708","2700.000","11.708","298.000"
"11.712","813.000","11.712","595.000","11.712","2745.000","11.712","296.000"
