"Ion 119.00 (118.70 to 119.70): MA_Population_47-1.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_47-1.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_47-1.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_47-1.D\data.ms",""
"11.625","607.000","11.625","1132.000","11.625","589.000","11.625","576.000"
"11.629","600.000","11.629","1033.000","11.629","583.000","11.629","435.000"
"11.634","581.000","11.634","871.000","11.634","588.000","11.634","350.000"
"11.638","600.000","11.638","732.000","11.638","589.000","11.638","289.000"
"11.643","613.000","11.643","674.000","11.643","579.000","11.643","290.000"
"11.647","647.000","11.647","692.000","11.647","596.000","11.647","281.000"
"11.651","758.000","11.651","801.000","11.651","620.000","11.651","328.000"
"11.656","903.000","11.656","1041.000","11.656","697.000","11.656","444.000"
"11.660","1223.000","11.660","1459.000","11.660","829.000","11.660","653.000"
"11.664","1627.000","11.664","2158.000","11.664","1110.000","11.664","1033.000"
"11.669","2121.000","11.669","2832.000","11.669","1448.000","11.669","1539.000"
"11.673","2361.000","11.673","3211.000","11.673","1774.000","11.673","1902.000"
"11.677","2409.000","11.677","3116.000","11.677","1891.000","11.677","1999.000"
"11.682","2141.000","11.682","2665.000","11.682","1797.000","11.682","1790.000"
"11.686","1658.000","11.686","1973.000","11.686","1550.000","11.686","1424.000"
"11.691","1196.000","11.691","1374.000","11.691","1268.000","11.691","948.000"
"11.695","903.000","11.695","1018.000","11.695","989.000","11.695","621.000"
"11.699","742.000","11.699","842.000","11.699","858.000","11.699","443.000"
"11.704","651.000","11.704","776.000","11.704","791.000","11.704","356.000"
"11.708","627.000","11.708","744.000","11.708","807.000","11.708","330.000"
"11.712","600.000","11.712","743.000","11.712","801.000","11.712","302.000"
