Sample 16-2,,,,
RT,ion 119,ion 125,ion 151,ion 157
11.625,304,328,332,159
11.629,305,321,336,157
11.634,299,325,332,158
11.638,314,332,339,157
11.642,311,330,332,167
11.647,323,397,343,190
11.651,341,474,347,235
11.656,343,643,351,310
11.66,364,787,357,418
11.664,378,881,371,500
11.669,392,894,366,535
11.673,389,821,385,520
11.677,381,703,378,438
11.682,377,553,380,345
11.686,367,443,382,270
11.691,360,402,396,214
11.695,352,372,399,193
11.699,356,357,394,182
11.704,348,359,386,176
11.708,343,356,400,168
11.712,340,347,391,165
