"Ion 119.00 (118.70 to 119.70): MA_Population_20-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_20-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_20-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_20-2.D\data.ms",""
"11.628","326.000","11.628","320.000","11.628","316.000","11.628","148.000"
"11.633","329.000","11.633","319.000","11.633","316.000","11.633","148.000"
"11.637","340.000","11.637","319.000","11.637","313.000","11.637","147.000"
"11.641","354.000","11.641","336.000","11.641","328.000","11.641","150.000"
"11.646","385.000","11.646","351.000","11.646","325.000","11.646","151.000"
"11.650","412.000","11.650","371.000","11.650","334.000","11.650","162.000"
"11.654","437.000","11.654","397.000","11.654","339.000","11.654","179.000"
"11.659","449.000","11.659","455.000","11.659","349.000","11.659","202.000"
"11.663","448.000","11.663","498.000","11.663","362.000","11.663","246.000"
"11.668","439.000","11.668","541.000","11.668","360.000","11.668","274.000"
"11.672","421.000","11.672","542.000","11.672","373.000","11.672","288.000"
"11.676","390.000","11.676","519.000","11.676","378.000","11.676","272.000"
"11.681","382.000","11.681","475.000","11.681","368.000","11.681","247.000"
"11.685","380.000","11.685","422.000","11.685","376.000","11.685","213.000"
"11.689","366.000","11.689","395.000","11.689","387.000","11.689","203.000"
"11.694","351.000","11.694","373.000","11.694","401.000","11.694","177.000"
"11.698","339.000","11.698","364.000","11.698","402.000","11.698","171.000"
"11.703","342.000","11.703","359.000","11.703","395.000","11.703","162.000"
"11.707","331.000","11.707","350.000","11.707","384.000","11.707","157.000"
"11.711","333.000","11.711","356.000","11.711","401.000","11.711","162.000"
