"Ion 119.00 (118.70 to 119.70): MA_Population_27-2-2.D\data.ms","","Ion 125.00 (124.70 to 125.70): MA_Population_27-2-2.D\data.ms","","Ion 151.00 (150.70 to 151.70): MA_Population_27-2-2.D\data.ms","","Ion 157.00 (156.70 to 157.70): MA_Population_27-2-2.D\data.ms",""
"11.625","1014.000","11.625","923.000","11.625","1716.000","11.625","398.000"
"11.629","1008.000","11.629","944.000","11.629","1729.000","11.629","398.000"
"11.634","1032.000","11.634","975.000","11.634","1736.000","11.634","402.000"
"11.638","1017.000","11.638","964.000","11.638","1733.000","11.638","390.000"
"11.642","1029.000","11.642","915.000","11.642","1700.000","11.642","397.000"
"11.647","993.000","11.647","894.000","11.647","1658.000","11.647","379.000"
"11.651","1012.000","11.651","851.000","11.651","1669.000","11.651","389.000"
"11.656","993.000","11.656","831.000","11.656","1669.000","11.656","392.000"
"11.660","992.000","11.660","822.000","11.660","1653.000","11.660","374.000"
"11.664","998.000","11.664","826.000","11.664","1660.000","11.664","398.000"
"11.669","1013.000","11.669","854.000","11.669","1651.000","11.669","411.000"
"11.673","1047.000","11.673","982.000","11.673","1654.000","11.673","442.000"
"11.677","1117.000","11.677","1148.000","11.677","1662.000","11.677","538.000"
"11.682","1148.000","11.682","1439.000","11.682","1651.000","11.682","700.000"
"11.686","1228.000","11.686","1756.000","11.686","1717.000","11.686","913.000"
"11.691","1287.000","11.691","2033.000","11.691","1694.000","11.691","1127.000"
"11.695","1333.000","11.695","2173.000","11.695","1735.000","11.695","1280.000"
"11.699","1327.000","11.699","2100.000","11.699","1739.000","11.699","1269.000"
"11.704","1333.000","11.704","1854.000","11.704","1712.000","11.704","1159.000"
"11.708","1295.000","11.708","1552.000","11.708","1749.000","11.708","958.000"
"11.712","1276.000","11.712","1274.000","11.712","1723.000","11.712","751.000"
